1
22691ce9b66c512f1628b1342826df64
False,0
False,0
True,100
70,62
-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,3,1,1,3,3,-1,3,3,3,3,3,1,1,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2,3,1,3,3,3,3,3,3,3,3,3,3,2,3,1,1,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,2,5,5,3,3,4,4,4,4,4,4,4,4,4,4,2,2,3,1,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1
3,5,5,5,2,3,2,2,4,2,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,-1,-1,-1,-1,-1,-1,3,3,3,6,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,-1,-1
-1,3,3,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,-1,-1,-1,-1,-1,3,3,2,6,6,6,2,3,3,3,3,3,3,-1,-1,3,3,3,3,3,-1,-1
-1,-1,3,3,-1,3,7,7,7,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,1,3,-1,-1,-1,-1,-1,3,2,6,6,6,6,2,6,6,6,6,2,3,3,2,6,6,3,-1,-1,-1
-1,-1,-1,-1,-1,3,3,3,7,7,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,3,-1,-1,-1,-1,-1,3,2,6,6,6,6,6,6,6,6,6,6,3,2,6,6,3,-1,-1,-1
-1,-1,-1,-1,-1,-1,3,7,7,7,3,5,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,3,3,3,3,-1,3,2,6,6,6,6,6,6,6,6,6,6,6,3,6,3,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,7,7,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,-1,-1,-1,-1,-1
