1
f92beecb1b1fd688c1638563b8b7daf6
True,1
True,150
True,100
100,100
25,25,25,25,25,25,25,25,25,25,25,22,5,0,1,11,19,23,25,25,23,21,21,21,21,21,21,23,24,22,25,25,25,25,25,24,22,19,18,19,21,20,21,21,5,21,24,23,24,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,24,25,23,23,25,22,21,21,21,21,21,23,25,25,25,22,24,24,24,24,24,24,24,24,24,24,24,25,25,22,6,12,12,1,0,0
23,24,25,25,25,25,25,25,25,23,21,2,0,0,11,11,21,25,25,25,21,21,21,21,21,21,21,24,25,24,22,23,24,23,23,22,21,19,21,7,7,21,21,21,20,21,22,22,22,22,22,22,23,23,23,24,24,25,25,25,25,25,25,25,25,25,25,24,22,23,21,21,21,21,21,21,24,25,25,24,23,24,24,24,24,24,24,24,24,24,24,25,25,25,22,6,12,12,1,0
5,21,21,22,23,23,23,23,22,5,0,0,0,1,11,6,23,25,25,23,21,21,21,21,21,21,21,24,25,25,24,23,23,22,24,23,19,18,33,8,8,7,21,20,21,24,25,25,25,25,24,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,21,21,21,21,21,21,21,21,24,25,25,23,24,24,24,24,24,24,25,24,24,24,24,25,25,25,22,6,12,12,0
0,21,21,0,0,2,2,0,0,0,0,0,1,11,11,21,25,25,25,21,21,21,21,21,21,21,22,24,25,25,25,25,25,25,22,21,18,9,34,34,7,9,19,20,21,22,25,25,25,25,25,24,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,21,21,21,21,21,21,21,21,25,25,23,25,24,25,25,25,25,25,24,25,25,25,25,25,25,25,22,5,12,12
2,21,21,2,0,0,0,0,0,0,1,11,11,11,19,23,25,25,24,21,21,21,21,21,21,21,22,24,25,25,25,25,25,25,22,19,18,34,34,33,34,7,32,21,22,22,24,25,25,25,25,25,23,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,21,21,21,21,21,21,21,22,25,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,19,12
5,22,22,21,0,0,0,1,11,11,11,19,22,22,24,25,25,25,22,21,21,21,21,21,21,21,22,24,25,25,25,25,25,25,22,18,9,34,7,7,8,33,19,19,25,25,25,25,25,25,25,25,25,22,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,21,21,21,21,21,21,21,21,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,19
21,22,23,21,6,11,11,11,6,22,22,24,25,25,25,25,25,25,21,21,21,21,21,21,21,21,23,24,25,25,25,25,25,23,8,8,34,34,7,7,7,35,19,22,25,25,25,25,25,25,25,25,25,25,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,21,21,21,21,21,21,21,21,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23
21,22,23,22,21,19,22,23,24,25,25,25,25,25,25,25,25,24,21,21,21,21,21,21,21,21,23,23,25,25,25,25,25,22,33,34,8,34,34,9,34,31,22,25,25,25,25,25,25,25,25,25,25,25,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,21,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
21,23,23,22,22,24,25,25,25,25,25,25,25,25,25,25,25,22,21,21,21,21,21,21,21,21,23,23,25,25,25,25,25,24,19,34,34,8,34,34,35,22,25,25,25,25,25,25,25,25,25,25,25,25,25,22,23,25,25,25,25,25,25,25,25,25,25,25,25,25,23,21,21,21,21,21,21,21,21,21,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
21,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,21,21,21,21,21,21,21,21,21,23,23,25,25,25,25,25,25,23,7,34,34,7,35,19,24,25,25,24,23,24,25,22,22,24,25,25,25,25,25,22,24,25,25,25,25,25,25,25,25,25,25,25,25,23,21,21,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
